program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Accounting,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Accounting,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Accounting,baseline,,freshman_fall,MTH 112,Pre-Calculus Algebra,3,III,False,,C,MinGrade of C required.
Accounting,baseline,,freshman_fall,,Science Lecture,3,III,True,See General Education Requirements Area III,,See General Education Requirements section for eligible courses.
Accounting,baseline,,freshman_fall,,Science Lab,1,III,True,Matching lab for science lecture,,
Accounting,baseline,,freshman_fall,,History Elective,3,IV,True,HIS 101-202 series,,See General Education Requirements section for eligible courses.
Accounting,baseline,,freshman_fall,,PED/MSC/HED Elective,2,V,True,See General Education Requirements Area V,,See General Education Requirements section for eligible courses.
Accounting,baseline,,freshman_fall,ACC 101,Accounting Prof Development I,1,,False,,,
Accounting,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Accounting,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Accounting,baseline,,freshman_spring,,Fine Arts Elective,3,II,True,"ART 101, MUS 101, etc.",,See General Education Requirements section for eligible courses.
Accounting,baseline,,freshman_spring,,Science Lecture,3,III,True,See General Education Requirements Area III,,
Accounting,baseline,,freshman_spring,,Science Lab,1,III,True,Matching lab,,
Accounting,baseline,,freshman_spring,MIS 213,Comp Applications in Business,3,V,False,,,
Accounting,baseline,,freshman_spring,MTH 120,Calculus and its Applications,3,III,False,,,
Accounting,baseline,,sophomore_fall,,Literature Sequence I,3,II,True,ENG 201-208 series,,
Accounting,baseline,,sophomore_fall,,Social/Behavioral Science Elective,3,IV,True,"PSY 201, SOC 201, etc.",,
Accounting,baseline,,sophomore_fall,ECO 230,Principles of Microeconomics,3,IV,False,,,
Accounting,baseline,,sophomore_fall,ENG 205,General Speech,3,II,False,,,
Accounting,baseline,,sophomore_fall,ACC 203,Financial Accounting Principles,3,,False,,,
Accounting,baseline,,sophomore_fall,ACC 304,Accounting Prof Development II,1,,False,,,
Accounting,baseline,,sophomore_spring,,Literature Sequence II,3,II,True,ENG 201-208 series,,
Accounting,baseline,,sophomore_spring,,"HIS 207, PSC 206, or SOC 210",3,IV,True,HIS 207; PSC 206; SOC 210,,
Accounting,baseline,,sophomore_spring,ECO 231,Principles of Macroeconomics,3,IV,False,,,
Accounting,baseline,,sophomore_spring,ECO 271,Business Statistics I,3,,False,,,
Accounting,baseline,,sophomore_spring,ACC 204,Managerial Accounting Principles,3,,False,,,
Accounting,baseline,,sophomore_spring,MGT 207,Legal Env and Ethics,3,,False,,,
Accounting,baseline,,junior_fall,ACC 301,Intermediate Accounting I,3,,False,,C,MinGrade of C required.
Accounting,baseline,,junior_fall,ACC 321,Accounting Analytics & Decisions,3,,False,,,
Accounting,baseline,,junior_fall,FIN 315,Principles of Finance,3,,False,,,
Accounting,baseline,,junior_fall,MKT 315,Principles of Marketing,3,,False,,,
Accounting,baseline,,junior_fall,ACC 395,Accounting Internship,1,,False,,C,"MinGrade of C required. [CS] capstone course. To register, student must have advisor consent."
Accounting,baseline,,junior_spring,ACC 302,Intermediate Accounting II,3,,False,,C,MinGrade of C required.
Accounting,baseline,,junior_spring,ACC 303,Cost Accounting and Analytics,3,,False,,C,MinGrade of C required.
Accounting,baseline,,junior_spring,MGT 315,Principles of Management,3,,False,,,
Accounting,baseline,,junior_spring,,ACC/MIS/CS 3xx-4xx Elective,3,,True,"ACC 3xx-4xx, MIS 3xx-4xx, or CS 3xx-4xx",C,MinGrade of C required.
Accounting,baseline,,senior_fall,MGT 413,Production Operations Mgt,3,,False,,,
Accounting,baseline,,senior_fall,ACC 306,Intermediate Accounting III,3,,False,,C,MinGrade of C required.
Accounting,baseline,,senior_fall,ACC 372,"AIS, Bus Processes & Analytics",3,,False,,,
Accounting,baseline,,senior_fall,,Free Elective,3,,True,Any course except transitional courses,,
Accounting,baseline,,senior_fall,,ACC/MIS/CS 3xx-4xx Elective,3,,True,"ACC 3xx-4xx, MIS 3xx-4xx, or CS 3xx-4xx",C,MinGrade of C required.
Accounting,baseline,,senior_spring,ACC 351,Taxation I,3,,False,,C,MinGrade of C required.
Accounting,baseline,,senior_spring,ACC 441,"Auditing, Risk Assess & Control",3,,False,,C,MinGrade of C required.
Accounting,baseline,,senior_spring,MGT 442,Strategic Mgt and Policy,3,,False,,,"[CS] capstone course, cannot be substituted."
Accounting,baseline,,senior_spring,,3xx-4xx ACC/MIS/CS Elective,3,,True,"ACC 3xx-4xx, MIS 3xx-4xx, or CS 3xx-4xx",,
Accounting,minor,Accounting Minor,,ACC 301,Intermediate Accounting I,3,,False,,D,
Accounting,minor,Accounting Minor,,ACC 302,Intermediate Accounting II,3,,False,,D,
Accounting,minor,Accounting Minor,,ACC 303,Cost Accounting and Analytics,3,,False,,D,
Accounting,minor,Accounting Minor,,ACC 351,Taxation I,3,,False,,D,
Accounting,minor,Accounting Minor,,,Choose 2 courses,6,,True,ACC 403; ACC 421; ACC 441; ACC 450; ACC 451; ACC 461; ACC 372,D,
