program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Biology,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Biology,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Biology,baseline,,freshman_fall,,Math Elective (See GenEd except MTH 110),3,III,True,Any GenEd Math except MTH 110,,See General Education Requirements section. MTH 110 excluded.
Biology,baseline,,freshman_fall,BIO 103,Principles of Biology,3,III,False,,C,MinGrade of C required.
Biology,baseline,,freshman_fall,BIO 103L,Principles of Biology Lab,1,III,False,,C,MinGrade of C required.
Biology,baseline,,freshman_fall,,HIS Sequence,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,See General Education Requirements section for eligible courses.
Biology,baseline,,freshman_fall,,"HED 101, MSC 101, or PED 102",2,V,True,HED 101; MSC 101; PED 102,,
Biology,baseline,,freshman_fall,BIO 100,Careers in Life Science,1,,False,,,
Biology,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Biology,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Biology,baseline,,freshman_spring,,Fine Arts Elective,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,See General Education Requirements section for eligible courses.
Biology,baseline,,freshman_spring,,BIO 203 or BIO 204 (Gen Botany I or II),3,,True,BIO 203; BIO 204,C,MinGrade of C required. MinGrade of D for non-BIO courses.
Biology,baseline,,freshman_spring,,BIO 203L or BIO 204L (Gen Botany Lab),1,,True,BIO 203L; BIO 204L,C,MinGrade of C required.
Biology,baseline,,freshman_spring,,Hum/Fine Art Elective,3,II,True,See General Education Requirements Area II,,See General Education Requirements section for eligible courses.
Biology,baseline,,freshman_spring,BIO 221,Human Anatomy/Physiology I,3,,False,,C,MinGrade of C required.
Biology,baseline,,freshman_spring,BIO 221L,Human Anat/Phys Lab I,1,,False,,C,MinGrade of C required.
Biology,baseline,,sophomore_fall,,Literature Elective,3,II,True,ENG 201-208 series,,See General Education Requirements section for eligible courses.
Biology,baseline,,sophomore_fall,,Economics Elective,3,IV,True,"ECO 200, ECO 230, ECO 231",,See General Education Requirements section for eligible courses.
Biology,baseline,,sophomore_fall,,Computer Literacy (NRE 199 or CS 101),3,V,True,NRE 199; CS 101,,
Biology,baseline,,sophomore_fall,CHE 101,General Chemistry I,3,III,False,,,
Biology,baseline,,sophomore_fall,CHE 101L,General Chemistry I Lab,1,III,False,,,
Biology,baseline,,sophomore_fall,MTH 113,Pre-Calculus Trigonometry,3,III,False,,D,MinGrade of D required.
Biology,baseline,,sophomore_spring,,HIS Sequence,3,IV,True,HIS 101-202 series,,See General Education Requirements section for eligible courses.
Biology,baseline,,sophomore_spring,,Social/Behavioral Science Elective,3,IV,True,"PSY 201, SOC 201, etc.",,See General Education Requirements section for eligible courses.
