program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Chemistry,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Chemistry,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Chemistry,baseline,,freshman_fall,MTH 125,Calculus I,4,III,False,,,
Chemistry,baseline,,freshman_fall,CHE 101,General Chemistry I,3,III,False,,C,
Chemistry,baseline,,freshman_fall,CHE 101L,General Chemistry I Lab,1,III,False,,C,
Chemistry,baseline,,freshman_fall,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Chemistry,baseline,,freshman_fall,,"HED 101, PED, MSC 101",2,V,True,"PED 102, PED 107, PED 111, PED 114, PED 132, PED 133, PED 137, HED 101, MSC 101, FAS 101, NHM 104",,
Chemistry,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Chemistry,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Chemistry,baseline,,freshman_spring,MTH 126,Calculus II,4,III,False,,,
Chemistry,baseline,,freshman_spring,CHE 102,General Chemistry II,3,III,False,,C,
Chemistry,baseline,,freshman_spring,CHE 102L,General Chemistry II Lab,1,III,False,,C,
Chemistry,baseline,,freshman_spring,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Chemistry,baseline,,freshman_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Chemistry,baseline,,sophomore_fall,,Literature – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Chemistry,baseline,,sophomore_fall,MTH 227,Calculus III,4,III,False,,,
Chemistry,baseline,,sophomore_fall,CHE 251,Organic Chemistry I,3,,False,,C,
Chemistry,baseline,,sophomore_fall,CHE 251L,Organic Chemistry I Lab,1,,False,,C,
Chemistry,baseline,,sophomore_fall,CS 102,Intro to Programming,3,V,False,,,
Chemistry,baseline,,sophomore_fall,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Chemistry,baseline,,sophomore_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Chemistry,baseline,,sophomore_spring,MTH 237,Intro to Linear Algebra,3,,False,,,
Chemistry,baseline,,sophomore_spring,CHE 252,Organic Chemistry II,3,,False,,C,
Chemistry,baseline,,sophomore_spring,CHE 252L,Organic Chemistry II Lab,1,,False,,C,
Chemistry,baseline,,sophomore_spring,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Chemistry,baseline,,sophomore_spring,CS 109,Intro to Programming II,3,,False,,C,
Chemistry,baseline,,junior_fall,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Chemistry,baseline,,junior_fall,MTH 238,Applied Differential Equations,3,,False,,,
Chemistry,baseline,,junior_fall,CHE 221,Analytical Chemistry,3,,False,,C,
Chemistry,baseline,,junior_fall,CHE 221L,Analytical Chemistry Lab,1,,False,,C,
Chemistry,baseline,,junior_fall,PHY 213,General Physics with Calculus I,4,III,False,,,
Chemistry,baseline,,junior_fall,CHE 308,Special Topics,3,,False,,C,
Chemistry,baseline,,junior_spring,CHE 303,Inorganic Chemistry,3,,False,,C,
Chemistry,baseline,,junior_spring,CHE 303L,Inorganic Chemistry Lab,1,,False,,C,
Chemistry,baseline,,junior_spring,CHE 409,Instrumental Methods,3,,False,,C,
Chemistry,baseline,,junior_spring,CHE 409L,Instrumental Methods Lab,1,,False,,C,
Chemistry,baseline,,junior_spring,PHY 214,General Physics with Calculus II,4,III,False,,,
Chemistry,baseline,,senior_fall,,CHE Elective,4,,True,CHE 3xx-4xx,C,
Chemistry,baseline,,senior_fall,CHE 401,Physical Chemistry I,3,,False,,C,
Chemistry,baseline,,senior_fall,CHE 401L,Physical Chemistry I Lab,1,,False,,C,
Chemistry,baseline,,senior_fall,CHE 403,Research I,2,,False,,C,"[CS] capstone course, cannot be substituted."
Chemistry,baseline,,senior_fall,CHE 407,Biochemistry I,3,,False,,C,
Chemistry,baseline,,senior_fall,CHE 407L,Biochemistry I Lab,1,,False,,C,
Chemistry,baseline,,senior_spring,,CHE Elective,4,,True,CHE 3xx-4xx (3-5 hrs),C,Variable 3-5 credit hours depending on elective chosen.
Chemistry,baseline,,senior_spring,CHE 402,Physical Chemistry II,3,,False,,C,
Chemistry,baseline,,senior_spring,CHE 402L,Physical Chemistry II Lab,1,,False,,C,
Chemistry,baseline,,senior_spring,CHE 404,Research II,2,,False,,C,"[CS] capstone course, cannot be substituted."
