program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Civil Engineering,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Civil Engineering,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Civil Engineering,baseline,,freshman_fall,MTH 125,Calculus I,4,III,False,,,
Civil Engineering,baseline,,freshman_fall,CHE 101,General Chemistry I,3,III,False,,,
Civil Engineering,baseline,,freshman_fall,CHE 101L,General Chemistry I Lab,1,III,False,,,
Civil Engineering,baseline,,freshman_fall,PHY 213,General Physics with Calculus I,4,III,False,,,
Civil Engineering,baseline,,freshman_fall,CE 101,Intro to Civil Engg,1,,False,,C,
Civil Engineering,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Civil Engineering,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Civil Engineering,baseline,,freshman_spring,EGC 104,Computer Programming,3,V,False,,C,
Civil Engineering,baseline,,freshman_spring,CHE 102,General Chemistry II,3,III,False,,,
Civil Engineering,baseline,,freshman_spring,CHE 102L,General Chemistry II Lab,1,III,False,,,
Civil Engineering,baseline,,freshman_spring,EGC 101,Engg Drawing/Graphics,3,,False,,C,
Civil Engineering,baseline,,freshman_spring,MTH 126,Calculus II,4,III,False,,,
Civil Engineering,baseline,,sophomore_fall,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Civil Engineering,baseline,,sophomore_fall,MTH 227,Calculus III,4,III,False,,,
Civil Engineering,baseline,,sophomore_fall,PHY 214,General Physics with Calculus II,4,III,False,,,
Civil Engineering,baseline,,sophomore_fall,EGC 205,Statics,3,,False,,C,
Civil Engineering,baseline,,sophomore_fall,CE 201,Surveying,3,,False,,C,
Civil Engineering,baseline,,sophomore_fall,,PED/MSC/HED – See GenEd Listing,2,V,True,"PED 102, PED 107, PED 111, PED 114, PED 132, PED 133, PED 137, HED 101, MSC 101, FAS 101, NHM 104",,
Civil Engineering,baseline,,sophomore_spring,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Civil Engineering,baseline,,sophomore_spring,MTH 238,Applied Differential Equations,3,III,False,,,
Civil Engineering,baseline,,sophomore_spring,EE 201,Linear Circuit Analysis I,3,,False,,C,
Civil Engineering,baseline,,sophomore_spring,EGC 206,Dynamics,3,,False,,C,
Civil Engineering,baseline,,sophomore_spring,EGC 207,Strength of Materials,3,,False,,C,
Civil Engineering,baseline,,sophomore_spring,EGC 207L,Strength of Materials Lab,1,,False,,C,
Civil Engineering,baseline,,junior_fall,,Hum/Fine Art – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102, CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202",,
Civil Engineering,baseline,,junior_fall,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Civil Engineering,baseline,,junior_fall,EGC 204,Engineering Analysis,3,,False,,C,
Civil Engineering,baseline,,junior_fall,EGC 305,Fluid Mechanics,3,,False,,C,
Civil Engineering,baseline,,junior_fall,EGC 305L,Fluid Mechanics Lab,1,,False,,C,
Civil Engineering,baseline,,junior_fall,CE 306,Structural Analysis I,3,,False,,C,
Civil Engineering,baseline,,junior_spring,CE 304,Environmental Engineering,3,,False,,C,
Civil Engineering,baseline,,junior_spring,CE 305,Hydrogeology,3,,False,,C,
Civil Engineering,baseline,,junior_spring,CE 308,Soil Mechanics,3,,False,,C,
Civil Engineering,baseline,,junior_spring,CE 308L,Soil Mechanics Lab,1,,False,,C,
Civil Engineering,baseline,,junior_spring,CE 310,Transportation Systems,3,,False,,C,
Civil Engineering,baseline,,junior_spring,CE 401,Structural Steel Design,3,,False,,C,
Civil Engineering,baseline,,senior_fall,,Literature – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Civil Engineering,baseline,,senior_fall,CE 402,Reinforced Concrete Design,3,,False,,C,
Civil Engineering,baseline,,senior_fall,CE 408,Foundation Design,3,,False,,C,
Civil Engineering,baseline,,senior_fall,CE 410,Transportation Engg & Design,3,,False,,C,
Civil Engineering,baseline,,senior_fall,CE 424,Civil Engineering Practice,3,,False,,C,
Civil Engineering,baseline,,senior_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Civil Engineering,baseline,,senior_spring,CE 404,Hydraulic Engg & Design,3,,False,,C,
Civil Engineering,baseline,,senior_spring,CE 440,Fundamentals of Engineering,1,,False,,,
Civil Engineering,baseline,,senior_spring,CE 470,Civil Engg Design Project,3,,False,,C,"[CS] capstone course, cannot be substituted."
Civil Engineering,baseline,,senior_spring,,"CE 4xx, NRE 494, 495",3,,True,CE 4xx or NRE 494 or NRE 495,C,
