program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Communications Media,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Communications Media,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Communications Media,baseline,,freshman_fall,,Math – See GenEd Listing,3,III,True,"MTH 108, MTH 108E, MTH 110, MTH 111, MTH 112, MTH 112E, MTH 113, MTH 115, MTH 120, MTH 125, MTH 126, MTH 227, MTH 237, MTH 238",,
Communications Media,baseline,,freshman_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Communications Media,baseline,,freshman_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab,,
Communications Media,baseline,,freshman_fall,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Communications Media,baseline,,freshman_fall,,"HED 101, PED, MSC 101",2,V,True,"PED 102, PED 107, PED 111, PED 114, PED 132, PED 133, PED 137, HED 101, MSC 101, FAS 101, NHM 104",,
Communications Media,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Communications Media,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Communications Media,baseline,,freshman_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Communications Media,baseline,,freshman_spring,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Communications Media,baseline,,freshman_spring,,Sci lab – See GenEd Listing,1,III,True,Matching lab,,
Communications Media,baseline,,freshman_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Communications Media,baseline,,freshman_spring,CS 101,Fund of Comp & Info Systems,3,V,False,,,
Communications Media,baseline,,sophomore_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Communications Media,baseline,,sophomore_fall,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Communications Media,baseline,,sophomore_fall,PHL 201,Intro to Philosophy,3,II,False,,C,MinGrade of C required.
Communications Media,baseline,,sophomore_fall,COMM 201,Intro to Mass Media,3,,False,,C,MinGrade of C required.
Communications Media,baseline,,sophomore_fall,COMM 202,Fundamentals of TV Production,3,,False,,C,MinGrade of C required.
Communications Media,baseline,,sophomore_fall,,Elem Foreign Language Sequence,3,,True,FRE 101/102 or SPA 101/102,,French or Spanish.
Communications Media,baseline,,sophomore_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Communications Media,baseline,,sophomore_spring,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Communications Media,baseline,,sophomore_spring,ENG 205,General Speech,3,II,False,,,
Communications Media,baseline,,sophomore_spring,SOC 201,Intro to Sociology,3,,False,,C,MinGrade of C required.
Communications Media,baseline,,sophomore_spring,COMM 205,Public Speaking for Com Arts Pro,3,,False,,C,MinGrade of C required.
Communications Media,baseline,,sophomore_spring,,Elem Foreign Language Sequence,3,,True,FRE 101/102 or SPA 101/102,,French or Spanish.
Communications Media,baseline,,junior_fall,,Elective outside this program,3,,True,,C,MinGrade of C required.
Communications Media,baseline,,junior_fall,ENG 304,Advanced Composition,3,,False,,C,MinGrade of C required.
Communications Media,baseline,,junior_fall,COMM 211,Broadcast Law & Regulations,3,,False,,C,MinGrade of C required.
Communications Media,baseline,,junior_fall,COMM 212,Writing for Broadcasting,3,,False,,C,MinGrade of C required.
Communications Media,baseline,,junior_fall,COMM 214,Careers in Media Arts,3,,False,,C,MinGrade of C required.
Communications Media,baseline,,junior_spring,,Elective outside this program,3,,True,,C,MinGrade of C required.
Communications Media,baseline,,junior_spring,,COMM Elective,3,,True,COMM 3xx-4xx,,
Communications Media,baseline,,junior_spring,,COMM Elective,3,,True,COMM 3xx-4xx,,
Communications Media,baseline,,junior_spring,,Concentration Course,3,,True,,,"Although Concentrations are a minimum 21 hours, some may require additional hours."
Communications Media,baseline,,senior_fall,,COMM Elective,3,,True,COMM 3xx-4xx,,
Communications Media,baseline,,senior_fall,,COMM Elective,3,,True,COMM 3xx-4xx,,
Communications Media,baseline,,senior_fall,,Concentration Course,3,,True,,,
Communications Media,baseline,,senior_fall,,Concentration Course,3,,True,,,
Communications Media,baseline,,senior_spring,,Concentration Course,3,,True,,,
Communications Media,baseline,,senior_spring,,Concentration Course,3,,True,,,
Communications Media,baseline,,senior_spring,,Concentration Course,3,,True,,,
Communications Media,baseline,,senior_spring,,Concentration Course,3,,True,,,
