program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Communicative Sciences and Disorders,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Communicative Sciences and Disorders,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Communicative Sciences and Disorders,baseline,,freshman_fall,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Communicative Sciences and Disorders,baseline,,freshman_fall,BIO 103,Princ of Biology I,3,III,False,,,
Communicative Sciences and Disorders,baseline,,freshman_fall,BIO 103L,Princ of Biology I Lab,1,III,False,,,
Communicative Sciences and Disorders,baseline,,freshman_fall,,HIS 1st half of: (101/102) or (201/202),3,IV,True,"HIS 101, HIS 102, HIS 201, HIS 202",,
Communicative Sciences and Disorders,baseline,,freshman_fall,SPA 101,Elementary Spanish I,3,II,False,,C,MinGrade of C required.
Communicative Sciences and Disorders,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Communicative Sciences and Disorders,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Communicative Sciences and Disorders,baseline,,freshman_spring,MUS 101,Music Appreciation,3,II,False,,,
Communicative Sciences and Disorders,baseline,,freshman_spring,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Communicative Sciences and Disorders,baseline,,freshman_spring,,Sci lab – See GenEd Listing,1,III,True,Matching lab,,
Communicative Sciences and Disorders,baseline,,freshman_spring,PHY 101,Physical Science,3,III,False,,C,MinGrade of C required.
Communicative Sciences and Disorders,baseline,,freshman_spring,PHY 101L,Physical Science & Lab,1,III,False,,C,MinGrade of C required.
Communicative Sciences and Disorders,baseline,,freshman_spring,,Math – See GenEd Listing,3,III,True,"MTH 108, MTH 108E, MTH 110, MTH 111, MTH 112, MTH 112E, MTH 113, MTH 115, MTH 120, MTH 125, MTH 126, MTH 227, MTH 237, MTH 238",,
Communicative Sciences and Disorders,baseline,,sophomore_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Communicative Sciences and Disorders,baseline,,sophomore_fall,MIS 213,Comp Applications in Business,3,V,False,,,
Communicative Sciences and Disorders,baseline,,sophomore_fall,,"HED 101, PED, MSC 101",2,V,True,"HED 101, PED courses, MSC 101",,
Communicative Sciences and Disorders,baseline,,sophomore_fall,CSD 202,Survey of Comm Disorders,3,,False,,B,MinGrade of B required.
Communicative Sciences and Disorders,baseline,,sophomore_fall,CSD 203,Phonetics,3,,False,,B,MinGrade of B required.
Communicative Sciences and Disorders,baseline,,sophomore_fall,CSD 204,A/P of Speech Mechanism,3,,False,,C,MinGrade of C required.
Communicative Sciences and Disorders,baseline,,sophomore_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
