program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_fall,MTH 108,Quantitative Reasoning,3,III,False,,C,MinGrade of C required.
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_fall,BIO 101,General Biology I,3,III,False,,C,MinGrade of C required.
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_fall,BIO 101L,General Biology I Lab,1,III,False,,C,MinGrade of C required.
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_fall,,"HED 101, PED, MSC 101",2,V,True,"HED 101, PED courses, MSC 101",,
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_spring,,Fine Arts – ART 101 or MUS 101,3,II,True,"ART 101, MUS 101",,
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_spring,BIO 102,General Biology II,3,III,False,,C,MinGrade of C required.
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_spring,BIO 102L,General Biology II Lab,1,III,False,,C,MinGrade of C required.
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Elementary Education (K-6) - Teacher Certification,baseline,,freshman_spring,MTH 112,Pre-Calculus Algebra,3,III,False,,C,MinGrade of C required.
Elementary Education (K-6) - Teacher Certification,baseline,,sophomore_fall,HIS 201,American History,3,IV,False,,C,MinGrade of C required.
Elementary Education (K-6) - Teacher Certification,baseline,,sophomore_fall,,ECO Economics Elective,3,IV,True,"ECO 200, ECO 230, ECO 231",,
