program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Environmental Science,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Environmental Science,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Environmental Science,baseline,,freshman_fall,BIO 103,Princ of Biology,3,III,False,,,
Environmental Science,baseline,,freshman_fall,BIO 103L,Princ of Biology Lab,1,III,False,,,
Environmental Science,baseline,,freshman_fall,NRE 101,Intro to Plant Science,4,,False,,C,MinGrade of C required.
Environmental Science,baseline,,freshman_fall,,"FAS 101, HED 101, NHM 104",2,V,True,"FAS 101, HED 101, NHM 104",,
Environmental Science,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Environmental Science,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Environmental Science,baseline,,freshman_spring,MTH 113,Pre-Calculus Trigonometry,3,III,False,,C,MinGrade of C required.
Environmental Science,baseline,,freshman_spring,CHE 101,General Chemistry I,3,III,False,,,
Environmental Science,baseline,,freshman_spring,CHE 101L,General Chemistry I Lab,1,III,False,,,
Environmental Science,baseline,,freshman_spring,NRE 170,Intro to Environmental Science,3,,False,,C,MinGrade of C required.
Environmental Science,baseline,,freshman_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Environmental Science,baseline,,sophomore_fall,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Environmental Science,baseline,,sophomore_fall,CHE 102,General Chemistry II,3,III,False,,,
Environmental Science,baseline,,sophomore_fall,CHE 102L,General Chemistry II Lab,1,III,False,,,
Environmental Science,baseline,,sophomore_fall,NRE 199,Technology in Ag & Bio Sciences,3,V,False,,,
Environmental Science,baseline,,sophomore_fall,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Environmental Science,baseline,,sophomore_fall,NRE 251,Intro to Soil Science,4,,False,,C,MinGrade of C required.
Environmental Science,baseline,,sophomore_spring,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Environmental Science,baseline,,sophomore_spring,,Literature – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Environmental Science,baseline,,sophomore_spring,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Environmental Science,baseline,,sophomore_spring,GEO 214,World Regional Geography,3,IV,False,,,
Environmental Science,baseline,,sophomore_spring,,Free Elective,3,,True,Any course except transitional courses,,
Environmental Science,baseline,,junior_fall,ENG 205,General Speech,3,II,False,,,
Environmental Science,baseline,,junior_fall,CHE 221,Analytical Chemistry,3,,False,,C,MinGrade of C required.
Environmental Science,baseline,,junior_fall,CHE 221L,Analytical Chemistry Lab,1,,False,,C,MinGrade of C required.
Environmental Science,baseline,,junior_fall,MTH 125,Calculus I,4,III,False,,,
Environmental Science,baseline,,junior_fall,,Concentration Course,3,,True,,,"Although concentrations are a minimum 21 hours, some may require additional hours."
Environmental Science,baseline,,junior_spring,PHY 201,General Physics with Trig I,4,,False,,C,MinGrade of C required.
Environmental Science,baseline,,junior_spring,NRE 365,Intro to GIS,3,,False,,C,MinGrade of C required.
Environmental Science,baseline,,junior_spring,CHE 251,Organic Chemistry I,3,,False,,C,MinGrade of C required.
Environmental Science,baseline,,junior_spring,CHE 251L,Organic Chemistry I Lab,1,,False,,C,MinGrade of C required.
Environmental Science,baseline,,junior_spring,,Concentration Course,3,,True,,,
Environmental Science,baseline,,junior_spring,,Concentration Course,3,,True,,,
Environmental Science,baseline,,senior_fall,,Concentration Course,3,,True,,,
Environmental Science,baseline,,senior_fall,NRE 306,Environmental Microbiology,4,,False,,C,MinGrade of C required.
Environmental Science,baseline,,senior_fall,NRE 430,Biostatistics,3,,False,,C,MinGrade of C required.
Environmental Science,baseline,,senior_fall,NRE 470,"Soil, Plant & Water Analysis",4,,False,,C,"[CS] capstone course, cannot be substituted."
Environmental Science,baseline,,senior_spring,NRE 491,Seminar & Scientific Writing,1,,False,,C,MinGrade of C required.
Environmental Science,baseline,,senior_spring,NRE 472,"Soil, Water & Air Pollution",3,,False,,C,MinGrade of C required.
Environmental Science,baseline,,senior_spring,,Concentration Course,3,,True,,,
Environmental Science,baseline,,senior_spring,,Concentration Course,3,,True,,,
Environmental Science,baseline,,senior_spring,,Concentration Course,3,,True,,,
Environmental Science,concentration,Ecology,,BIO 330,Microbiology,3,,False,,C,
Environmental Science,concentration,Ecology,,BIO 330L,Microbiology Lab,1,,False,,C,
Environmental Science,concentration,Ecology,,NRE 310,General Ecology,3,,False,,C,
Environmental Science,concentration,Ecology,,NRE 320,Aquatic Ecology,3,,False,,C,
Environmental Science,concentration,Ecology,,NRE 370,Wildlife Biology,4,,False,,C,
Environmental Science,concentration,Ecology,,NRE 420,Ecosystems Ecology,3,,False,,C,
Environmental Science,concentration,Ecology,,NRE 460,Advanced GIS and Remote Sensing,4,,False,,C,
Environmental Science,concentration,Fish and Wildlife Science,,NRE 310,General Ecology,3,,False,,C,
Environmental Science,concentration,Fish and Wildlife Science,,NRE 320,Aquatic Ecology,3,,False,,C,
Environmental Science,concentration,Fish and Wildlife Science,,NRE 340,Fish Biology,3,,False,,C,
Environmental Science,concentration,Fish and Wildlife Science,,NRE 350,Wildlife Management,4,,False,,C,
Environmental Science,concentration,Fish and Wildlife Science,,NRE 370,Wildlife Biology,4,,False,,C,
Environmental Science,concentration,Fish and Wildlife Science,,NRE 460,Advanced GIS and Remote Sensing,4,,False,,C,
