program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Family and Consumer Sciences,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Family and Consumer Sciences,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Family and Consumer Sciences,baseline,,freshman_fall,,Math – See GenEd Listing,3,III,True,"MTH 108, MTH 108E, MTH 110, MTH 111, MTH 112, MTH 112E, MTH 113, MTH 115, MTH 120, MTH 125, MTH 126, MTH 227, MTH 237, MTH 238",,
Family and Consumer Sciences,baseline,,freshman_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Family and Consumer Sciences,baseline,,freshman_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,
Family and Consumer Sciences,baseline,,freshman_fall,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Family and Consumer Sciences,baseline,,freshman_fall,NHM 104,Nutrition Today,2,V,False,,,
Family and Consumer Sciences,baseline,,freshman_fall,FCS 101,Intro to the Profession,2,,False,,C,MinGrade of C required.
Family and Consumer Sciences,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Family and Consumer Sciences,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Family and Consumer Sciences,baseline,,freshman_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Family and Consumer Sciences,baseline,,freshman_spring,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Family and Consumer Sciences,baseline,,freshman_spring,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,
Family and Consumer Sciences,baseline,,freshman_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Family and Consumer Sciences,baseline,,freshman_spring,AMD 104L,Aesthetics in FCS,3,,False,,C,MinGrade of C required.
Family and Consumer Sciences,baseline,,sophomore_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Family and Consumer Sciences,baseline,,sophomore_fall,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Family and Consumer Sciences,baseline,,sophomore_fall,NRE 199,Technology in Ag & Bio Sciences,3,V,False,,,
Family and Consumer Sciences,baseline,,sophomore_fall,AMD 201L,Basic Clothing Construction,3,,False,,,
Family and Consumer Sciences,baseline,,sophomore_fall,NHM 201L,Science of Food Preparation,3,,False,,B,MinGrade of B required.
Family and Consumer Sciences,baseline,,sophomore_fall,,Elective from Areas II-IV not taken,3,,True,See General Education Requirements Areas II-IV,,
Family and Consumer Sciences,baseline,,sophomore_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Family and Consumer Sciences,baseline,,sophomore_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Family and Consumer Sciences,baseline,,sophomore_spring,ENG 205,General Speech,3,II,False,,,
Family and Consumer Sciences,baseline,,sophomore_spring,NHM 105,Princ of Nutrition,3,,False,,C,MinGrade of C required.
Family and Consumer Sciences,baseline,,sophomore_spring,,Free Elective,3,,True,,C,MinGrade of C required.
Family and Consumer Sciences,baseline,,junior_fall,,Free Elective,3,,True,,C,MinGrade of C required.
Family and Consumer Sciences,baseline,,junior_fall,,Free Elective,3,,True,,C,MinGrade of C required.
Family and Consumer Sciences,baseline,,junior_fall,,Concentration Course,3,,True,,,"Although Concentrations are a minimum 21 hours, some may require additional hours."
Family and Consumer Sciences,baseline,,junior_fall,,Concentration Course,3,,True,,,
Family and Consumer Sciences,baseline,,junior_fall,HDF 314,Family & Society,3,,False,,C,MinGrade of C required.
Family and Consumer Sciences,baseline,,junior_spring,HDF 312,Family Economics/Resource Mgt,3,,False,,C,MinGrade of C required.
Family and Consumer Sciences,baseline,,junior_spring,,Free Elective,3,,True,,C,MinGrade of C required.
Family and Consumer Sciences,baseline,,junior_spring,,Free Elective,3,,True,,C,MinGrade of C required.
Family and Consumer Sciences,baseline,,junior_spring,,Concentration Course,3,,True,,,
Family and Consumer Sciences,baseline,,senior_fall,,Concentration Course,3,,True,,,
