program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Finance,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Finance,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Finance,baseline,,freshman_fall,MTH 112,Pre-Calculus Algebra,3,III,False,,C,MinGrade of C required.
Finance,baseline,,freshman_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Finance,baseline,,freshman_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,
Finance,baseline,,freshman_fall,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Finance,baseline,,freshman_fall,,PED/MSC/HED – See GenEd Listing,2,V,True,"PED 102, PED 107, PED 111, PED 114, PED 132, PED 133, PED 137, HED 101, MSC 101, FAS 101, NHM 104",,
Finance,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Finance,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Finance,baseline,,freshman_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Finance,baseline,,freshman_spring,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Finance,baseline,,freshman_spring,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,
Finance,baseline,,freshman_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Finance,baseline,,freshman_spring,MTH 120,Calculus and its Applications,3,III,False,,,
Finance,baseline,,freshman_fall,FIN 101,Prof Development I in Finance,1,,False,,C,MinGrade of C required.
Finance,baseline,,sophomore_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Finance,baseline,,sophomore_fall,ECO 230,Princ of Microeconomics,3,IV,False,,,
Finance,baseline,,sophomore_fall,MIS 213,Comp Applications in Business,3,V,False,,,
Finance,baseline,,sophomore_fall,ENG 205,General Speech,3,II,False,,,
Finance,baseline,,sophomore_fall,ACC 203,Financial Accounting Principles,3,,False,,,
Finance,baseline,,sophomore_fall,FIN 102,Prof Development II in Finance,1,,False,,C,MinGrade of C required.
Finance,baseline,,sophomore_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Finance,baseline,,sophomore_spring,MGT 207,Legal Env and Ethics,3,,False,,,
Finance,baseline,,sophomore_spring,ECO 231,Princ of Macroeconomics,3,IV,False,,,
Finance,baseline,,sophomore_spring,ECO 271,Business Statistics I,3,,False,,,
Finance,baseline,,sophomore_spring,ACC 204,Managerial Accounting Principles,3,,False,,,
Finance,baseline,,sophomore_spring,FIN 315,Princ of Finance,3,,False,,,
Finance,baseline,,junior_fall,MGT 315,Princ of Management,3,,False,,,
Finance,baseline,,junior_fall,MKT 315,Princ of Marketing,3,,False,,,
Finance,baseline,,junior_fall,,ACC/ECO/FIN/MIS 3xx-4xx Elc or ECO 272,3,,True,"ACC, ECO, FIN, MIS 3xx-4xx or ECO 272",,
Finance,baseline,,junior_fall,FIN 317,Financial Data Analysis,3,,False,,C,MinGrade of C required.
Finance,baseline,,junior_fall,,FIN 3xx-4xx Elective,3,,True,FIN 3xx-4xx,C,MinGrade of C required.
Finance,baseline,,junior_spring,FIN 316,Managerial Finance,3,,False,,C,MinGrade of C required.
Finance,baseline,,junior_spring,FIN 371,Financial Markets & Institutions,3,,False,,C,MinGrade of C required.
Finance,baseline,,junior_spring,,Advisor-approved restricted elecs,3,,True,"Advisor-approved restricted 3xx-4xx CS, MTH, URP, ACC, ECO, FIN, MIS",,
Finance,baseline,,junior_spring,FIN 391,Finance Internship,1,,False,,C,MinGrade of C required.
Finance,baseline,,junior_spring,,"HIS 207, PSC 206, SOC 210",3,IV,True,"HIS 207, PSC 206, SOC 210",,
Finance,baseline,,senior_fall,FIN 432,Investment I,3,,False,,C,MinGrade of C required.
Finance,baseline,,senior_fall,MGT 413,Production Operations Mgt,3,,False,,,
Finance,baseline,,senior_fall,,Advisor-approved restricted elecs,3,,True,"Advisor-approved restricted 3xx-4xx CS, MTH, URP, ACC, ECO, FIN, MIS",,
Finance,baseline,,senior_fall,MGT 442,Strategic Mgt and Policy,3,,False,,,"[CS] capstone course, cannot be substituted."
Finance,baseline,,senior_spring,FIN 487,Int'l Financial Management,3,,False,,C,MinGrade of C required.
Finance,baseline,,senior_spring,FIN 489,Special Topics in Finance,3,,False,,C,MinGrade of C required.
Finance,baseline,,senior_spring,,Free Elective,3,,True,Any course except transitional courses,,
Finance,baseline,,senior_spring,,Advisor-approved restricted elecs,3,,True,"Advisor-approved restricted 3xx-4xx CS, MTH, URP, ACC, ECO, FIN, MIS",,
