program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Food Science,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Food Science,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Food Science,baseline,,freshman_fall,MTH 112,Pre-Calculus Algebra,3,III,False,,,
Food Science,baseline,,freshman_fall,CHE 101,General Chemistry I,3,III,False,,,
Food Science,baseline,,freshman_fall,CHE 101L,General Chemistry I Lab,1,III,False,,,
Food Science,baseline,,freshman_fall,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Food Science,baseline,,freshman_fall,FAS 102,Intro to Food Science,3,V,False,,C,MinGrade of C required.
Food Science,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Food Science,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Food Science,baseline,,freshman_spring,MTH 113,Pre-Calculus Trigonometry,3,III,False,,,
Food Science,baseline,,freshman_spring,CHE 102,General Chemistry II,3,III,False,,,
Food Science,baseline,,freshman_spring,CHE 102L,General Chemistry II Lab,1,III,False,,,
Food Science,baseline,,freshman_spring,BIO 103,Princ of Biology,3,III,False,,,
Food Science,baseline,,freshman_spring,BIO 103L,Princ of Biology Lab,1,III,False,,,
Food Science,baseline,,freshman_spring,FAS 101,Foods for Life,2,V,False,,,
Food Science,baseline,,sophomore_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Food Science,baseline,,sophomore_fall,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Food Science,baseline,,sophomore_fall,NRE 199,Technology in Ag & Bio Sciences,3,V,False,,,
Food Science,baseline,,sophomore_fall,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Food Science,baseline,,sophomore_fall,,Soc/Behav Sci Elective,3,IV,True,See General Education Requirements Area IV,,"Per AGSC, no more than six hours of HIS courses may be used to meet Area IV."
Food Science,baseline,,sophomore_fall,FAS 306,Sensory Evaluation,3,,False,,C,MinGrade of C required.
Food Science,baseline,,sophomore_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Food Science,baseline,,sophomore_spring,,Soc/Behav Sci Elective,3,IV,True,See General Education Requirements Area IV,,"Per AGSC, no more than six hours of HIS courses may be used to meet Area IV."
Food Science,baseline,,sophomore_spring,ENG 205,General Speech,3,II,False,,,
Food Science,baseline,,sophomore_spring,FAS 241,Undergraduate Scientific Writing,2,,False,,C,MinGrade of C required.
Food Science,baseline,,sophomore_spring,FAS 351,Nutrition and Metabolism,3,,False,,C,MinGrade of C required.
Food Science,baseline,,junior_fall,MTH 125,Calculus I,4,III,False,,,
Food Science,baseline,,junior_fall,CHE 251,Organic Chemistry I,3,,False,,,
Food Science,baseline,,junior_fall,CHE 251L,Organic Chemistry I Lab,1,,False,,,
Food Science,baseline,,junior_fall,BIO 330,Microbiology,3,,False,,,
Food Science,baseline,,junior_fall,BIO 330L,Microbiology Lab,1,,False,,,
Food Science,baseline,,junior_fall,FAS 402,Meat & Poultry Sci & Technology,3,,False,,C,MinGrade of C required.
Food Science,baseline,,junior_spring,PHY 201,General Physics with Trig I,4,III,False,,,
Food Science,baseline,,junior_spring,FAS 442,"Fruits, Vegs, & Cereal Prod Tech",4,,False,,C,MinGrade of C required.
Food Science,baseline,,junior_spring,FAS 453L,Agricultural Biochemistry,4,,False,,C,MinGrade of C required.
Food Science,baseline,,junior_spring,FAS 450,Regulations of Food Safety & Quality,3,,False,,C,MinGrade of C required.
Food Science,baseline,,senior_fall,,"NRE 430, FAS 440",3,,True,NRE 430 or FAS 440,C,MinGrade of C required.
Food Science,baseline,,senior_fall,FAS 401L,Food Microbiology,4,,False,,C,MinGrade of C required.
Food Science,baseline,,senior_fall,FAS 407L,Food Chemistry,4,,False,,C,MinGrade of C required.
Food Science,baseline,,senior_fall,FAS 461L,Food Engineering,4,,False,,C,MinGrade of C required.
Food Science,baseline,,senior_spring,FAS 403,Seminar,1,,False,,C,MinGrade of C required.
Food Science,baseline,,senior_spring,FAS 408L,Food/Feed Analysis,4,,False,,C,MinGrade of C required.
Food Science,baseline,,senior_spring,FAS 490,Food Science Capstone,3,,False,,C,"[CS] capstone course, cannot be substituted."
Food Science,baseline,,senior_spring,FAS 472L,Food Processing,4,,False,,C,MinGrade of C required.
Food Science,baseline,,senior_spring,,Food Science Elective,3,,True,,,
