program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Forestry,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Forestry,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Forestry,baseline,,freshman_fall,MTH 113,Pre-Calculus Trigonometry,3,III,False,,,
Forestry,baseline,,freshman_fall,CHE 101,General Chemistry I,3,III,False,,,
Forestry,baseline,,freshman_fall,CHE 101L,General Chemistry I Lab,1,III,False,,,
Forestry,baseline,,freshman_fall,NRE 281,Intro to Forestry,3,,False,,C,MinGrade of C required.
Forestry,baseline,,freshman_fall,NRE 101,Intro to Plant Science,4,,False,,C,MinGrade of C required.
Forestry,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Forestry,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Forestry,baseline,,freshman_spring,CHE 102,General Chemistry II,3,III,False,,,
Forestry,baseline,,freshman_spring,CHE 102L,General Chemistry II Lab,1,III,False,,,
Forestry,baseline,,freshman_spring,BIO 103,Principles of Biology I,3,III,False,,,
Forestry,baseline,,freshman_spring,BIO 103L,Principles of Biology I Lab,1,III,False,,,
Forestry,baseline,,freshman_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Forestry,baseline,,freshman_spring,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Forestry,baseline,,sophomore_fall,,Literature – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Forestry,baseline,,sophomore_fall,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Forestry,baseline,,sophomore_fall,BIO 104,Principles of Biology II,3,III,False,,,
Forestry,baseline,,sophomore_fall,BIO 104L,Principles of Biology II Lab,1,III,False,,,
Forestry,baseline,,sophomore_fall,NRE 251,Intro to Soil Science,4,,False,,C,MinGrade of C required.
Forestry,baseline,,sophomore_fall,NRE 282,Dendrology,3,,False,,C,MinGrade of C required.
Forestry,baseline,,sophomore_spring,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Forestry,baseline,,sophomore_spring,ENG 205,General Speech,3,II,False,,,
Forestry,baseline,,sophomore_spring,PHL 201,Intro to Philosophy,3,II,False,,,
Forestry,baseline,,sophomore_spring,HED 101,Personal and Community Health,2,V,False,,,
Forestry,baseline,,sophomore_spring,NRE 199,Technology in Ag & Bio Sciences,3,V,False,,,
Forestry,baseline,,sophomore_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Forestry,baseline,,junior_fall,NRE 365,Intro to GIS,3,,False,,C,MinGrade of C required.
Forestry,baseline,,junior_fall,NRE 379,Forest Ecology,3,,False,,C,MinGrade of C required.
Forestry,baseline,,junior_fall,NRE 382,Forestry Field Techniques I,3,,False,,C,MinGrade of C required.
Forestry,baseline,,junior_fall,NRE 430,Biostatistics,3,,False,,C,MinGrade of C required.
Forestry,baseline,,junior_fall,,Concentration Course,3,,True,,,"Although concentrations are a minimum 21 hours, some may require additional hours."
Forestry,baseline,,junior_fall,,Concentration Course,3,,True,,,
Forestry,baseline,,junior_spring,NRE 371,Forest Mensuration,4,,False,,C,MinGrade of C required.
Forestry,baseline,,junior_spring,NRE 375,Silviculture,4,,False,,C,MinGrade of C required.
Forestry,baseline,,junior_spring,NRE 383,Forestry Field Techniques II,3,,False,,C,MinGrade of C required.
Forestry,baseline,,junior_spring,NRE 387,Wildlife-Forestry Relationships,3,,False,,C,MinGrade of C required.
Forestry,baseline,,junior_spring,,Concentration Course,3,,True,,,
Forestry,baseline,,senior_fall,NRE 474,Forest Ecological Management,2,,False,,C,MinGrade of C required.
Forestry,baseline,,senior_fall,NRE 483,Forest Resource Economics,3,,False,,C,MinGrade of C required.
Forestry,baseline,,senior_fall,,Concentration Course,3,,True,,,
Forestry,baseline,,senior_fall,,Concentration Course,3,,True,,,
Forestry,baseline,,senior_fall,,Free Elective,3,,True,Any course except transitional courses,,
Forestry,baseline,,senior_spring,NRE 376,Forest Pest Management,3,,False,,C,MinGrade of C required.
Forestry,baseline,,senior_spring,NRE 480,Natural Resource Policy,3,,False,,C,MinGrade of C required.
Forestry,baseline,,senior_spring,NRE 491,Seminar & Scientific Writing,1,,False,,C,MinGrade of C required.
Forestry,baseline,,senior_spring,NRE 497,Forest Ecological Mgt Project,4,,False,,C,"[CS] capstone course, cannot be substituted."
Forestry,baseline,,senior_spring,,Concentration Course,3,,True,,,
Forestry,baseline,,senior_spring,,Concentration Course,3,,True,,,
Forestry,concentration,Forest Management,,NRE 310,General Ecology,3,,False,,C,
Forestry,concentration,Forest Management,,NRE 384,Forest Inventory,3,,False,,C,
Forestry,concentration,Forest Management,,NRE 385,Forest Operations,3,,False,,C,
Forestry,concentration,Forest Management,,NRE 460,Advanced GIS and Remote Sensing,4,,False,,C,
Forestry,concentration,Forest Management,,NRE 475,Advanced Silviculture,3,,False,,C,
Forestry,concentration,Forest Management,,NRE 484,Forest Finance & Valuation,3,,False,,C,
Forestry,concentration_elective_pool,Forest Management,,,Choose 1 elective,3,,True,"NRE 320, NRE 340, NRE 350, NRE 370, NRE 420",,
Forestry,concentration,Forest Science,,NRE 310,General Ecology,3,,False,,C,
Forestry,concentration,Forest Science,,NRE 320,Aquatic Ecology,3,,False,,C,
Forestry,concentration,Forest Science,,NRE 420,Ecosystems Ecology,3,,False,,C,
Forestry,concentration,Forest Science,,NRE 460,Advanced GIS and Remote Sensing,4,,False,,C,
Forestry,concentration,Forest Science,,NRE 475,Advanced Silviculture,3,,False,,C,
Forestry,concentration_elective_pool,Forest Science,,,Choose 2 electives,6,,True,"NRE 340, NRE 350, NRE 370, NRE 384, NRE 385, NRE 484",,
Forestry,concentration,Forestry Business,,ACC 203,Financial Accounting Principles,3,,False,,C,
Forestry,concentration,Forestry Business,,ECO 230,Principles of Microeconomics,3,,False,,C,
Forestry,concentration,Forestry Business,,FIN 315,Principles of Finance,3,,False,,C,
Forestry,concentration,Forestry Business,,MGT 315,Principles of Management,3,,False,,C,
Forestry,concentration,Forestry Business,,MKT 315,Principles of Marketing,3,,False,,C,
Forestry,concentration,Forestry Business,,NRE 484,Forest Finance & Valuation,3,,False,,C,
Forestry,concentration_elective_pool,Forestry Business,,,Choose 1 elective,3,,True,"ACC 204, ECO 231, MGT 207",,
