program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Liberal Studies,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Liberal Studies,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Liberal Studies,baseline,,freshman_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Liberal Studies,baseline,,freshman_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,
Liberal Studies,baseline,,freshman_fall,,Computer Lit – See GenEd Listing,3,V,True,"ART 103, CMG 225, CS 101, CS 102, CS 104, EE 109, EGC 104, FED 215, ME 104, MIS 213, NRE 199",,
Liberal Studies,baseline,,freshman_fall,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Liberal Studies,baseline,,freshman_fall,,PED/MSC/HED – See GenEd Listing,2,V,True,"PED 102, PED 107, PED 111, PED 114, PED 132, PED 133, PED 137, HED 101, MSC 101, FAS 101, NHM 104",,
Liberal Studies,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Liberal Studies,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Liberal Studies,baseline,,freshman_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Liberal Studies,baseline,,freshman_spring,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Liberal Studies,baseline,,freshman_spring,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,
Liberal Studies,baseline,,freshman_spring,,Math – See GenEd Listing except 110,3,III,True,"See General Education Requirements Area III – Math, except MTH 110",,
Liberal Studies,baseline,,sophomore_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Liberal Studies,baseline,,sophomore_fall,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Liberal Studies,baseline,,sophomore_fall,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Liberal Studies,baseline,,sophomore_fall,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Liberal Studies,baseline,,sophomore_fall,LIBS 201,Intro to Liberal Studies,3,,False,,,
Liberal Studies,baseline,,sophomore_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Liberal Studies,baseline,,sophomore_spring,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Liberal Studies,baseline,,sophomore_spring,,Discipline Elective,3,,True,,,Discipline elective course subjects must be the same.
Liberal Studies,baseline,,sophomore_spring,,Discipline Elective,3,,True,,,Discipline elective course subjects must be the same.
Liberal Studies,baseline,,sophomore_spring,,Discipline Elective,3,,True,,,Discipline elective course subjects must be the same.
Liberal Studies,baseline,,junior_fall,,Discipline Elective,3,,True,,,Discipline elective course subjects must be the same.
Liberal Studies,baseline,,junior_fall,,Discipline Elective,3,,True,,,Discipline elective course subjects must be the same.
Liberal Studies,baseline,,junior_fall,,Discipline Elective,3,,True,,,Discipline elective course subjects must be the same.
Liberal Studies,baseline,,junior_fall,,Discipline Elective,3,,True,,,Discipline elective course subjects must be the same.
Liberal Studies,baseline,,junior_fall,,Free Elective,3,,True,Any course except transitional courses,,
Liberal Studies,baseline,,junior_spring,,Free Elective,3,,True,Any course except transitional courses,,
Liberal Studies,baseline,,junior_spring,,3xx-4xx Elective,3,,True,,C,MinGrade of C required.
Liberal Studies,baseline,,junior_spring,,3xx-4xx Elective,3,,True,,C,MinGrade of C required.
Liberal Studies,baseline,,junior_spring,,3xx-4xx Elective,3,,True,,C,MinGrade of C required.
Liberal Studies,baseline,,junior_spring,,3xx-4xx Elective,3,,True,,C,MinGrade of C required.
Liberal Studies,baseline,,senior_fall,,3xx-4xx Elective,3,,True,,C,MinGrade of C required.
Liberal Studies,baseline,,senior_fall,,3xx-4xx Elective,3,,True,,C,MinGrade of C required.
Liberal Studies,baseline,,senior_fall,,3xx-4xx Elective,3,,True,,C,MinGrade of C required.
Liberal Studies,baseline,,senior_fall,,3xx-4xx Elective,3,,True,,C,MinGrade of C required.
Liberal Studies,baseline,,senior_fall,,3xx-4xx Elective,3,,True,,C,MinGrade of C required.
Liberal Studies,baseline,,senior_spring,,3xx-4xx Elective,3,,True,,C,MinGrade of C required.
Liberal Studies,baseline,,senior_spring,,Free Elective,3,,True,Any course except transitional courses,,
Liberal Studies,baseline,,senior_spring,,Free Elective,3,,True,Any course except transitional courses,,
Liberal Studies,baseline,,senior_spring,,Free Elective,3,,True,Any course except transitional courses,,
Liberal Studies,baseline,,senior_spring,,Free Elective,3,,True,Any course except transitional courses,,
