program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Music,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Music,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Music,baseline,,freshman_fall,,Math – See GenEd Listing,3,III,True,"MTH 108, MTH 108E, MTH 110, MTH 111, MTH 112, MTH 112E, MTH 113, MTH 115, MTH 120, MTH 125, MTH 126, MTH 227, MTH 237, MTH 238",,
Music,baseline,,freshman_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Music,baseline,,freshman_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab,,
Music,baseline,,freshman_fall,MUS 001,Music Seminar I,0,,False,,C,
Music,baseline,,freshman_fall,MUS 102,Fundamentals of Music,3,,False,,C,
Music,baseline,,freshman_fall,,Music Ensemble,1,,True,,,Please check the chosen concentration for the list of eligible courses.
Music,baseline,,freshman_fall,,Applied Music – Major Instr/Voice,1,,True,,C,
Music,baseline,,freshman_fall,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Music,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Music,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Music,baseline,,freshman_spring,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Music,baseline,,freshman_spring,,Sci lab – See GenEd Listing,1,III,True,Matching lab,,
Music,baseline,,freshman_spring,MUS 002,Music Seminar II,0,,False,,C,
Music,baseline,,freshman_spring,,Music Ensemble,1,,True,,,
Music,baseline,,freshman_spring,,Applied Music – Major Instr/Voice,1,,True,,C,
Music,baseline,,freshman_spring,MUS 103,Music Theory I,2,,False,,,
Music,baseline,,freshman_spring,,"PED, HED 101",2,V,True,"PED courses, HED 101",,
Music,baseline,,freshman_spring,MUS 103A,Aural Skills I,1,,False,,,
Music,baseline,,freshman_spring,MUS 141A,Class Piano I,2,,False,,,
Music,baseline,,sophomore_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Music,baseline,,sophomore_fall,,Computer Lit – See GenEd Listing,3,V,True,"ART 103, CMG 225, CS 101, CS 102, CS 104, EE 109, EGC 104, FED 215, ME 104, MIS 213, NRE 199",,
Music,baseline,,sophomore_fall,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Music,baseline,,sophomore_fall,MUS 104,Music Theory II,2,,False,,,
Music,baseline,,sophomore_fall,MUS 003,Music Seminar III,0,,False,,C,
Music,baseline,,sophomore_fall,,Applied Music – Major Instr/Voice,1,,True,,C,
Music,baseline,,sophomore_fall,,Music Ensemble,1,,True,,,
Music,baseline,,sophomore_fall,MUS 104A,Aural Skills II,1,,False,,,
Music,baseline,,sophomore_fall,MUS 241A,Group Class Piano II,2,,False,,,
Music,baseline,,sophomore_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Music,baseline,,sophomore_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Music,baseline,,sophomore_spring,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Music,baseline,,sophomore_spring,,Music Ensemble,1,,True,,,
Music,baseline,,sophomore_spring,,Applied Music – Major Instr/Voice,1,,True,,C,
Music,baseline,,sophomore_spring,MUS 004,Music Seminar IV,0,,False,,C,
Music,baseline,,sophomore_spring,MUS 205,Music Theory III,2,,False,,,
Music,baseline,,sophomore_spring,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Music,baseline,,sophomore_spring,MUS 205A,Aural Skills III,1,,False,,,
Music,baseline,,junior_fall,MUS 303,Music History & Literature I,2,,False,,C,
Music,baseline,,junior_fall,MUS 309,Basic Conducting,1,,False,,C,
Music,baseline,,junior_fall,,Applied Music – Major Instr/Voice,1,,True,,C,
Music,baseline,,junior_fall,,Concentration Course(s),3,,True,,,"Although Concentrations are a minimum 21 hours, some may require additional hours."
Music,baseline,,junior_fall,,Concentration Course(s),3,,True,,,
Music,baseline,,junior_fall,MUS 005,Music Seminar V,0,,False,,C,
Music,baseline,,junior_fall,MUS 206,Music Theory IV,3,,False,,,
Music,baseline,,junior_fall,MUS 206A,Aural Skills IV,1,,False,,,
Music,baseline,,junior_spring,,Concentration Course(s),2,,True,,,
Music,baseline,,junior_spring,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Music,baseline,,junior_spring,,Concentration Course(s),3,,True,,,
Music,baseline,,junior_spring,MUS 304,Music History & Literature II,2,,False,,C,
Music,baseline,,junior_spring,MUS 320,Form and Analysis,3,,False,,C,
Music,baseline,,senior_fall,,Concentration Course(s),3,,True,,,
Music,baseline,,senior_fall,,Concentration Course(s),3,,True,,,
Music,baseline,,senior_fall,,Advisor-Approved Elective(s),3,,True,,,Elective hours must first be used towards fulfilling concentration hours utilizing the 50% overlap policy.
