program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Physics,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Physics,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Physics,baseline,,freshman_fall,MTH 125,Calculus I,4,III,False,,,
Physics,baseline,,freshman_fall,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Physics,baseline,,freshman_fall,PHY 213,General Physics with Calculus I,4,III,False,,,
Physics,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Physics,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Physics,baseline,,freshman_spring,MTH 126,Calculus II,4,III,False,,,
Physics,baseline,,freshman_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Physics,baseline,,freshman_spring,PHY 214,General Physics with Calculus II,4,III,False,,,
Physics,baseline,,freshman_spring,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Physics,baseline,,sophomore_fall,,Literature – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Physics,baseline,,sophomore_fall,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Physics,baseline,,sophomore_fall,CS 102,Intro to Programming,3,V,False,,,
Physics,baseline,,sophomore_fall,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Physics,baseline,,sophomore_fall,MTH 227,Calculus III,4,III,False,,,
Physics,baseline,,sophomore_spring,,"HED 101, PED, MSC 101",2,V,True,"PED 102, PED 107, PED 111, PED 114, PED 132, PED 133, PED 137, HED 101, MSC 101, FAS 101, NHM 104",,
Physics,baseline,,sophomore_spring,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Physics,baseline,,sophomore_spring,PHY 218,Modern Physics,3,,False,,C,
Physics,baseline,,sophomore_spring,PHY 252L,Modern Physics Lab,3,,False,,C,
Physics,baseline,,sophomore_spring,,Free Elective,3,,True,,,Restricted and free elective hours must first be used towards fulfilling concentration hours if applicable utilizing the 50% overlap policy.
Physics,baseline,,sophomore_spring,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Physics,baseline,,junior_fall,MTH 238,Applied Diff Equations,3,,False,,C,
Physics,baseline,,junior_fall,,"PHY 303, MTH 303 Methods of Math Physics",4,,True,PHY 303 or MTH 303,C,
Physics,baseline,,junior_fall,PHY 321,Mechanics I,3,,False,,C,
Physics,baseline,,junior_fall,,Free Elective,3,,True,,,
Physics,baseline,,junior_fall,,Free Elective,3,,True,,,
Physics,baseline,,junior_spring,CS 109,Intro to Programming II,3,,False,,C,
Physics,baseline,,junior_spring,PHY 322,Mechanics II,3,,False,,C,
Physics,baseline,,junior_spring,PHY 331,Electricity & Magnetism I,3,,False,,C,
Physics,baseline,,junior_spring,PHY 341,Heat and Thermodynamics,3,,False,,C,
Physics,baseline,,junior_spring,,Restricted Elective,3,,True,"PHY, MTH, CHE, BIO, EGC, EE, ME, CE or CS courses",,"Restricted electives must be from PHY, MTH, CHE, BIO, EGC, EE, ME, CE or CS. Restricted and free elective hours must first be used towards fulfilling concentration hours if applicable utilizing the 50% overlap policy."
Physics,baseline,,senior_fall,PHY 401,Optics,3,,False,,C,
Physics,baseline,,senior_fall,PHY 421,Intro to Quantum Mechanics,3,,False,,C,
Physics,baseline,,senior_fall,,Restricted Elective,3,,True,"PHY, MTH, CHE, BIO, EGC, EE, ME, CE or CS courses",,
Physics,baseline,,senior_fall,,Restricted Elective,3,,True,"PHY, MTH, CHE, BIO, EGC, EE, ME, CE or CS courses",,
Physics,baseline,,senior_spring,PHY 451,Intro to Solid State Physics,3,,False,,C,
Physics,baseline,,senior_spring,,Restricted Elective,3,,True,"PHY, MTH, CHE, BIO, EGC, EE, ME, CE or CS courses",,
Physics,baseline,,senior_spring,,Restricted Elective,3,,True,"PHY, MTH, CHE, BIO, EGC, EE, ME, CE or CS courses",,
Physics,baseline,,senior_spring,,Restricted Elective,3,,True,"PHY, MTH, CHE, BIO, EGC, EE, ME, CE or CS courses",,
