program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Psychology,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Psychology,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Psychology,baseline,,freshman_fall,MTH 112,Pre-Calculus Algebra,3,III,False,,,
Psychology,baseline,,freshman_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Psychology,baseline,,freshman_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab,,
Psychology,baseline,,freshman_fall,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Psychology,baseline,,freshman_fall,,"PED 102, HED 101",2,V,True,"PED 102, HED 101",,
Psychology,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Psychology,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Psychology,baseline,,freshman_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Psychology,baseline,,freshman_spring,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Psychology,baseline,,freshman_spring,,Sci lab – See GenEd Listing,1,III,True,Matching lab,,
Psychology,baseline,,freshman_spring,,"SOC 201, PSY 211, PSC 201, PSC 205",3,IV,True,"SOC 201, PSY 211, PSC 201, PSC 205",,
Psychology,baseline,,freshman_spring,ART 101,Art Appreciation,3,II,False,,C,MinGrade of C required.
Psychology,baseline,,sophomore_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Psychology,baseline,,sophomore_fall,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Psychology,baseline,,sophomore_fall,CS 101,Fund of Comp & Info Systems,3,V,False,,,
Psychology,baseline,,sophomore_fall,PSY 201,General Psychology,3,IV,False,,,
Psychology,baseline,,sophomore_fall,,Elem Foreign Language Sequence,3,II,True,FRE 101/102 or SPA 101/102,C,MinGrade of C required.
Psychology,baseline,,sophomore_fall,,"PHL 201, PHL 203, PHL 206",3,II,True,"PHL 201, PHL 203, PHL 206",,
Psychology,baseline,,sophomore_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Psychology,baseline,,sophomore_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Psychology,baseline,,sophomore_spring,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Psychology,baseline,,sophomore_spring,,PSY 265/SOC 265 Elem Statistics,3,,True,PSY 265 or SOC 265,C,MinGrade of C required.
Psychology,baseline,,sophomore_spring,,Elem Foreign Language Sequence,3,II,True,FRE 101/102 or SPA 101/102,C,MinGrade of C required.
Psychology,baseline,,junior_fall,,Humanities/FA not already taken,3,II,True,,C,MinGrade of C required.
Psychology,baseline,,junior_fall,PSY 202,History& Systems of Psychology,3,,False,,C,MinGrade of C required.
Psychology,baseline,,junior_fall,PSY 307,Intro to Research,3,,False,,C,MinGrade of C required.
Psychology,baseline,,junior_fall,,PSY Elective,3,,True,PSY 3xx-4xx,C,MinGrade of C required.
Psychology,baseline,,junior_fall,,Minor or Track Course,3,,True,,,"If a Minor is chosen, 12ch of PSY Electives is required. If a Track is chosen, 15ch of PSY Electives is required. Tracks cannot be overlapped."
Psychology,baseline,,junior_spring,,Humanities/FA not already taken,3,,True,,C,MinGrade of C required.
Psychology,baseline,,junior_spring,PSY 416,Experimental Psychology,3,,False,,C,MinGrade of C required.
Psychology,baseline,,junior_spring,PSY 416L,Experimental Psychology Lab,1,,False,,C,MinGrade of C required.
Psychology,baseline,,junior_spring,,PSY Elective,3,,True,PSY 3xx-4xx,C,MinGrade of C required.
Psychology,baseline,,junior_spring,,Minor or Track Course (required if Minor is chosen),3,,True,,,0 or 3 hrs depending on Minor vs Track choice.
Psychology,baseline,,senior_fall,PSY 415,Physiological Psychology,3,,False,,C,MinGrade of C required.
Psychology,baseline,,senior_fall,PSY 415L,Physiological Psychology Lab,1,,False,,C,MinGrade of C required.
Psychology,baseline,,senior_fall,,PSY Elective,3,,True,PSY 3xx-4xx,C,MinGrade of C required.
Psychology,baseline,,senior_fall,,PSY Elective,3,,True,PSY 3xx-4xx,C,MinGrade of C required.
Psychology,baseline,,senior_fall,,Minor or Track Course,3,,True,,,
Psychology,baseline,,senior_spring,PSY 404,Seminar in Psychology,3,,False,,C,"[CS] capstone course, cannot be substituted."
Psychology,baseline,,senior_spring,PSY 471,Abnormal Psychology,3,,False,,C,MinGrade of C required.
Psychology,baseline,,senior_spring,,PSY Elective (required if Track is chosen),3,,True,PSY 3xx-4xx,C,0 or 3 hrs depending on Minor vs Track choice.
Psychology,baseline,,senior_spring,,Minor or Track Course,3,,True,,,
Psychology,baseline,,senior_spring,,Minor or Track Course,3,,True,,,
