program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_fall,MTH 108,Quantitative Reasoning,3,III,False,,C,MinGrade of C required.
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_fall,BIO 101,General Biology I,3,III,False,,C,MinGrade of C required.
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_fall,BIO 101L,General Biology I Lab,1,III,False,,C,MinGrade of C required.
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_fall,,HIS – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",C,MinGrade of C required.
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_fall,,"HED 101, PED, MSC 101",2,V,True,"HED 101, PED courses, MSC 101",,
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_spring,,Fine Arts Elc except COMM 101,3,II,True,"ART 101, MUS 101, ART 220, ART 221, UPL 102",,
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_spring,BIO 102,General Biology II,3,III,False,,C,MinGrade of C required.
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_spring,BIO 102L,General Biology II Lab,1,III,False,,C,MinGrade of C required.
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_spring,MTH 112,Pre-Calculus Algebra,3,III,False,,C,MinGrade of C required.
Special Education - Collaborative (6-12) Teaching Certification,baseline,,freshman_spring,FED 215,Instructional Technology,3,V,False,,C,MinGrade of C required.
