program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Sport Management,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Sport Management,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Sport Management,baseline,,freshman_fall,,Math – See GenEd Listing,3,III,True,"MTH 108, MTH 108E, MTH 110, MTH 111, MTH 112, MTH 112E, MTH 113, MTH 115, MTH 120, MTH 125, MTH 126, MTH 227, MTH 237, MTH 238",,
Sport Management,baseline,,freshman_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III. Lecture and Lab must match. Sequence required.,,
Sport Management,baseline,,freshman_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,
Sport Management,baseline,,freshman_fall,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Sport Management,baseline,,freshman_fall,,PED/MSC/HED – See GenEd Listing,2,V,True,"PED 102, PED 107, PED 111, PED 114, PED 132, PED 133, PED 137, HED 101, MSC 101, FAS 101, NHM 104",,
Sport Management,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Sport Management,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Sport Management,baseline,,freshman_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Sport Management,baseline,,freshman_spring,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III. Lecture and Lab must match. Sequence required.,,
Sport Management,baseline,,freshman_spring,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,
Sport Management,baseline,,freshman_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Sport Management,baseline,,freshman_spring,CS 101,Fund of Comp & Info Systems,3,V,False,,,
Sport Management,baseline,,sophomore_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Sport Management,baseline,,sophomore_fall,COMM 201,Intro to Mass Media,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,sophomore_fall,PED 427,Adapted Physical Education,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,sophomore_fall,MGT 315,Princ of Management,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,sophomore_fall,SPM 200,Intro to Sport Management,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,sophomore_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Sport Management,baseline,,sophomore_spring,ENG 205,General Speech,3,II,False,,,
Sport Management,baseline,,sophomore_spring,MKT 315,Princ of Marketing,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,sophomore_spring,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Sport Management,baseline,,sophomore_spring,PED 137,Golf,1,,False,,C,MinGrade of C required.
Sport Management,baseline,,sophomore_spring,PED 111,Tennis,1,,False,,C,MinGrade of C required.
Sport Management,baseline,,sophomore_spring,SPM 300,Sport Ethics,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,junior_fall,,Free Elective,3,,True,,C,MinGrade of C required.
Sport Management,baseline,,junior_fall,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Sport Management,baseline,,junior_fall,SPM 326,Soc of Sport in Modern Society,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,junior_fall,,Track Course,3,,True,See Sport Management Track courses,,
Sport Management,baseline,,junior_fall,FIN 315,Princ of Finance,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,junior_spring,SPM 403,Legal Aspects of PE & Sport,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,junior_spring,PED 207,First Aid/CPR,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,junior_spring,,Track Course,3,,True,See Sport Management Track courses,,
Sport Management,baseline,,junior_spring,SPM 314,Sport Facilities & Event Mgt,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,junior_spring,,Track Course,3,,True,See Sport Management Track courses,,
Sport Management,baseline,,senior_fall,SPM 440,Advanced Sport Mgt,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,senior_fall,,Track Course,3,,True,See Sport Management Track courses,,
Sport Management,baseline,,senior_fall,SPM 423,Sport Psychology,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,senior_fall,SPM 425,Contemporary Issues in Sport Mgt,3,,False,,C,MinGrade of C required.
Sport Management,baseline,,senior_fall,,Track Course,3,,True,See Sport Management Track courses,,
Sport Management,baseline,,senior_spring,SPM 445,Externship,12,,False,,C,"[CS] capstone course, cannot be substituted. MinGrade of C required."
