program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Urban and Regional Planning,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Urban and Regional Planning,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,freshman_fall,,Computer Lit – See GenEd Listing,3,V,True,"ART 103, CMG 225, CS 101, CS 102, CS 104, EE 109, EGC 104, FED 215, ME 104, MIS 213, NRE 199",,
Urban and Regional Planning,baseline,,freshman_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,Lecture and Lab must match.
Urban and Regional Planning,baseline,,freshman_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,Lecture and Lab must match.
Urban and Regional Planning,baseline,,freshman_fall,UPL 103,Community and You,3,IV,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,freshman_fall,,"NHM 104, FAS 101, HED 101",2,V,True,"NHM 104, FAS 101, HED 101",,
Urban and Regional Planning,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Urban and Regional Planning,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,freshman_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Urban and Regional Planning,baseline,,freshman_spring,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,Lecture and Lab must match.
Urban and Regional Planning,baseline,,freshman_spring,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,Lecture and Lab must match.
Urban and Regional Planning,baseline,,freshman_spring,,Math – See GenEd Listing,3,III,True,"MTH 108, MTH 108E, MTH 110, MTH 111, MTH 112, MTH 112E, MTH 113, MTH 115, MTH 120, MTH 125, MTH 126, MTH 227, MTH 237, MTH 238",,
Urban and Regional Planning,baseline,,freshman_spring,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Urban and Regional Planning,baseline,,sophomore_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Urban and Regional Planning,baseline,,sophomore_fall,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Urban and Regional Planning,baseline,,sophomore_fall,PSC 206,State and Local Government,3,IV,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,sophomore_fall,UPL 203,History & Theory of Planning,3,,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,sophomore_fall,UPL 101,Intro to Urban Planning,3,,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,sophomore_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Urban and Regional Planning,baseline,,sophomore_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Urban and Regional Planning,baseline,,sophomore_spring,ENG 205,General Speech,3,II,False,,,
Urban and Regional Planning,baseline,,sophomore_spring,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Urban and Regional Planning,baseline,,sophomore_spring,UPL 250,Basic Planning Studies,3,,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,junior_fall,UPL 275,Statistics for Urban Planning,3,,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,junior_fall,UPL 301,Drawing for Visual & Planners,3,,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,junior_fall,UPL 317,Studio I: Graphic and Site Design,3,,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,junior_fall,UPL 404,Social Issues in Planning,3,,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,junior_fall,,Free Elective,3,,True,Any course except transitional courses,,
Urban and Regional Planning,baseline,,junior_spring,UPL 350,Research Methods and Design,3,,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,junior_spring,UPL 327,Land Use Planning,3,,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,junior_spring,UPL 357,Studio II: Comprehensive Planning,3,,False,,C,MinGrade of C required.
Urban and Regional Planning,baseline,,junior_spring,,Minor Course,3,,True,,,"Although minors are a minimum 18 hours, some may require additional 1-2 hours. Please check the Bulletin."
Urban and Regional Planning,baseline,,junior_spring,,Minor Course,3,,True,,,
Urban and Regional Planning,baseline,,senior_fall,,UPL 310 or URP 531 (if in 5-yr prgm),3,,True,UPL 310 Urban Economic Analysis OR URP 531 Econ & Pop Anal (if in 5-yr prgm),C,MinGrade of C required. MinGrade of B required for 5-yr prgm courses.
Urban and Regional Planning,baseline,,senior_fall,,NRE 365 or URP 526 (if in 5-yr prgm),3,,True,NRE 365 Intro Geographic Info Systems OR URP 526 Comp Appl in Plan (if in 5-yr prgm),C,
