program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Visual Art,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Visual Art,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Visual Art,baseline,,freshman_fall,,Comp Lit – ART 103 or CS 101,3,V,True,ART 103 or CS 101,,
Visual Art,baseline,,freshman_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Visual Art,baseline,,freshman_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab,,
Visual Art,baseline,,freshman_fall,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Visual Art,baseline,,freshman_fall,,PED/MSC/HED See GenEd Listing,2,V,True,"PED 102, PED 107, PED 111, PED 114, PED 132, PED 133, PED 137, HED 101, MSC 101, FAS 101, NHM 104",,
Visual Art,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Visual Art,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Visual Art,baseline,,freshman_spring,,"Fine Art – See GenEd Listing except ART 220, 221",3,II,True,"See GenEd Listing except ART 220, ART 221",,
Visual Art,baseline,,freshman_spring,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Visual Art,baseline,,freshman_spring,,Sci lab – See GenEd Listing,1,III,True,Matching lab,,
Visual Art,baseline,,freshman_spring,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Visual Art,baseline,,freshman_spring,ART 110,Drawing I,3,,False,,,
Visual Art,baseline,,sophomore_fall,,Literature – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Visual Art,baseline,,sophomore_fall,,ECO – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Visual Art,baseline,,sophomore_fall,,MTH 108 or higher,3,III,True,"MTH 108, MTH 108E, MTH 110, MTH 111, MTH 112, MTH 112E, MTH 113, MTH 115, MTH 120, MTH 125, MTH 126, MTH 227, MTH 237, MTH 238",,
Visual Art,baseline,,sophomore_fall,ART 111,2D Design,3,,False,,,
Visual Art,baseline,,sophomore_fall,ART 209,Drawing II,3,,False,,,
Visual Art,baseline,,sophomore_spring,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Visual Art,baseline,,sophomore_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Visual Art,baseline,,sophomore_spring,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Visual Art,baseline,,sophomore_spring,ART 121,3D Design,3,,False,,,
Visual Art,baseline,,sophomore_spring,ART 211,Color Theory,3,,False,,,
Visual Art,baseline,,junior_fall,ART 220,History of Art I,3,,False,,,
Visual Art,baseline,,junior_fall,VAR 310,Drawing Composition,3,,False,,,
Visual Art,baseline,,junior_fall,,VAR 2xx-3xx (2D Studio or Graphic Design),3,,True,VAR 2xx-3xx,C,MinGrade of C required.
Visual Art,baseline,,junior_fall,,VAR 2xx-3xx (3D Studio or Graphic Design),3,,True,VAR 2xx-3xx,C,MinGrade of C required.
Visual Art,baseline,,junior_fall,,VAR 3xx-4xx (Studio Elc or Graphic Des Elc),3,,True,VAR 3xx-4xx,C,MinGrade of C required.
Visual Art,baseline,,junior_spring,ART 221,History of Art II,3,,False,,,
Visual Art,baseline,,junior_spring,,VAR 3xx-4xx (Studio Elc or Graphic Des Elc),3,,True,VAR 3xx-4xx,C,
Visual Art,baseline,,junior_spring,VAR 230,Graphic Design I,3,,False,,,
Visual Art,baseline,,junior_spring,,VAR 3xx-4xx (Studio Elc or Graphic Des Elc),3,,True,VAR 3xx-4xx,C,
Visual Art,baseline,,junior_spring,,Concentration Course,3,,True,,,"Although concentrations are a minimum 21 hours, some may require additional hours."
Visual Art,baseline,,senior_fall,,VAR 3xx-4xx (Studio Elc or Graphic Des Elc),3,,True,VAR 3xx-4xx,C,
Visual Art,baseline,,senior_fall,,Free Elective,3,,True,Any course except transitional courses,,
Visual Art,baseline,,senior_fall,,Concentration Course,3,,True,,,
Visual Art,baseline,,senior_fall,,Concentration Course,3,,True,,,
Visual Art,baseline,,senior_fall,,Concentration Course,3,,True,,,
Visual Art,baseline,,senior_spring,,VAR 4xx Art History Elective,3,,True,VAR 4xx Art History,C,
Visual Art,baseline,,senior_spring,,Concentration Course,3,,True,,,
Visual Art,baseline,,senior_spring,,Concentration Course,3,,True,,,
Visual Art,baseline,,senior_spring,,Concentration Course,3,,True,,,
